# file...... R1-12.47-1_capacitor1.csv
# date...... Wed Aug 11 09:30:59 2021
# user...... solal
# host...... (null)
# target.... capacitor 2
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,switchA,switchB,switchC,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 EST,CLOSED,CLOSED,CLOSED,+7130.02,+10.7672,-3648.38,-5788.09,-3101.98,+6252.69
2000-01-01 00:01:00 EST,CLOSED,CLOSED,CLOSED,+7203.65,-6.56894,-3753.87,-5921.68,-3172.77,+6318.21
2000-01-01 00:02:00 EST,CLOSED,CLOSED,CLOSED,+7298.63,-6.83813,-3802.33,-6009.92,-3227.11,+6401.88
2000-01-01 00:03:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11965,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:04:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:05:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:06:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:07:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:08:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:09:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:10:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:11:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:12:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:13:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:14:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:15:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:16:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:17:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:18:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:19:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:20:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:21:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:22:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:23:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:24:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:25:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:26:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:27:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:28:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:29:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:30:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:31:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:32:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:33:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:34:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:35:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:36:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:37:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:38:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:39:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:40:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:41:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
2000-01-01 00:42:00 EST,CLOSED,CLOSED,CLOSED,+7396.06,-7.11961,-3852.02,-6100.26,-3282.65,+6487.63
