# file...... R1-12.47-1_reg1_output.csv
# date...... Wed Aug 11 09:30:59 2021
# user...... solal
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+912335,+735470,+2.45421e+06,+915644,+2.66265e+06,+952862,+6.0292e+06,+2.60398e+06
2000-01-01 00:01:00 EST,2,2,2,+912819,+735745,+2.44056e+06,+609958,+2.66574e+06,+933376,+6.01912e+06,+2.27908e+06
2000-01-01 00:02:00 EST,4,4,4,+912788,+731831,+2.43828e+06,+594821,+2.66413e+06,+920026,+6.0152e+06,+2.24668e+06
2000-01-01 00:03:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579283,+2.66257e+06,+906476,+6.0114e+06,+2.21354e+06
2000-01-01 00:04:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:05:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:06:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:07:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:08:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:09:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:10:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:11:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:12:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:13:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:14:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:15:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:16:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:17:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:18:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:19:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:20:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:21:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:22:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:23:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:24:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:25:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:26:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:27:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:28:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:29:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:30:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:31:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:32:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:33:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:34:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:35:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:36:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:37:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:38:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:39:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:40:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:41:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:42:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
2000-01-01 00:43:00 EST,6,6,6,+912774,+727780,+2.43606e+06,+579284,+2.66257e+06,+906475,+6.0114e+06,+2.21354e+06
