# file...... R5-12.47-2_reg1_output.csv
# date...... Tue Aug 10 17:16:14 2021
# user...... solal
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+1.4725e+06,+802646,+1.47603e+06,+799054,+1.47364e+06,+797309,+4.42217e+06,+2.39901e+06
2000-01-01 00:01:00 EST,2,2,2,+1.47207e+06,+801882,+1.47046e+06,+601358,+1.47244e+06,+795716,+4.41497e+06,+2.19896e+06
2000-01-01 00:02:00 EST,4,4,4,+1.47103e+06,+800946,+1.46945e+06,+595115,+1.47142e+06,+794784,+4.4119e+06,+2.19084e+06
2000-01-01 00:03:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:04:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:05:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:06:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793872,+4.4089e+06,+2.18259e+06
2000-01-01 00:07:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:08:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:09:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:10:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:11:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:12:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793872,+4.4089e+06,+2.18259e+06
2000-01-01 00:13:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:14:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793872,+4.4089e+06,+2.18259e+06
2000-01-01 00:15:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:16:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:17:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:18:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:19:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:20:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:21:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:22:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:23:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
2000-01-01 00:24:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793872,+4.4089e+06,+2.18259e+06
2000-01-01 00:25:00 EST,6,6,6,+1.47002e+06,+800029,+1.46846e+06,+588684,+1.47042e+06,+793873,+4.4089e+06,+2.18259e+06
