# file...... data/scenario3/2035R3-12.47-3_reg2_output.csv
# date...... Tue Aug 17 13:45:11 2021
# user...... solal
# host...... (null)
# target.... regulator 1
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+824722,+304825,+717469,+267613,+696246,+262166,+2.23844e+06,+834604
2000-01-01 00:01:00 EST,2,2,2,+821581,+109614,+718317,+266028,+696992,+263695,+2.23689e+06,+639337
2000-01-01 00:02:00 EST,4,4,4,+821424,+98193.3,+718358,+265986,+696798,+263557,+2.23658e+06,+627736
2000-01-01 00:03:00 EST,5,5,6,+821389,+89125.6,+718403,+266014,+696642,+263422,+2.23643e+06,+618562
2000-01-01 00:04:00 EST,5,5,6,+823982,+303547,+717556,+267521,+695673,+261742,+2.23721e+06,+832810
2000-01-01 00:05:00 EST,5,5,6,+823982,+303547,+717556,+267521,+695673,+261742,+2.23721e+06,+832810
2000-01-01 00:06:00 EST,5,5,6,+823982,+303547,+717556,+267521,+695673,+261742,+2.23721e+06,+832810
2000-01-01 00:07:00 EST,5,5,6,+823982,+303547,+717556,+267521,+695673,+261742,+2.23721e+06,+832810
2000-01-01 00:08:00 EST,5,5,6,+823982,+303547,+717556,+267521,+695673,+261742,+2.23721e+06,+832810
2000-01-01 00:09:00 EST,5,5,6,+823982,+303547,+717556,+267521,+695673,+261742,+2.23721e+06,+832810
