# file...... data/scenario3/GFCR3-12.47-3_reg1_output.csv
# date...... Tue Aug 17 13:45:26 2021
# user...... solal
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+2.60652e+06,+1.02811e+06,+2.58796e+06,+1.0197e+06,+2.60936e+06,+1.04093e+06,+7.80384e+06,+3.08875e+06
2000-01-01 00:01:00 EST,2,2,2,+2.59313e+06,+521584,+2.59128e+06,+1.01232e+06,+2.61202e+06,+1.04688e+06,+7.79643e+06,+2.58079e+06
2000-01-01 00:02:00 EST,4,4,4,+2.5921e+06,+500884,+2.5907e+06,+1.01117e+06,+2.61114e+06,+1.04575e+06,+7.79394e+06,+2.5578e+06
2000-01-01 00:03:00 EST,6,6,6,+2.59492e+06,+805225,+2.5882e+06,+1.01269e+06,+2.60907e+06,+1.04147e+06,+7.7922e+06,+2.85939e+06
2000-01-01 00:04:00 EST,6,6,6,+2.60319e+06,+1.02299e+06,+2.58608e+06,+1.01647e+06,+2.60661e+06,+1.03737e+06,+7.79588e+06,+3.07683e+06
2000-01-01 00:05:00 EST,6,6,6,+2.60319e+06,+1.02299e+06,+2.58608e+06,+1.01647e+06,+2.60661e+06,+1.03737e+06,+7.79588e+06,+3.07683e+06
2000-01-01 00:06:00 EST,6,6,6,+2.60319e+06,+1.02299e+06,+2.58608e+06,+1.01647e+06,+2.60661e+06,+1.03737e+06,+7.79588e+06,+3.07683e+06
2000-01-01 00:07:00 EST,6,6,6,+2.60319e+06,+1.02299e+06,+2.58608e+06,+1.01647e+06,+2.60661e+06,+1.03737e+06,+7.79588e+06,+3.07683e+06
2000-01-01 00:08:00 EST,6,6,6,+2.60319e+06,+1.02299e+06,+2.58608e+06,+1.01647e+06,+2.60661e+06,+1.03737e+06,+7.79588e+06,+3.07683e+06
2000-01-01 00:09:00 EST,6,6,6,+2.60319e+06,+1.02299e+06,+2.58608e+06,+1.01647e+06,+2.60661e+06,+1.03737e+06,+7.79588e+06,+3.07683e+06
