# file...... data/scenario3/HPR3-12.47-3_reg2_output.csv
# date...... Tue Aug 17 13:45:43 2021
# user...... solal
# host...... (null)
# target.... regulator 1
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+787252,+303719,+670779,+266242,+657374,+261274,+2.1154e+06,+831235
2000-01-01 00:01:00 EST,2,2,2,+784319,+107748,+671660,+264837,+658095,+262789,+2.11407e+06,+635374
2000-01-01 00:02:00 EST,4,4,4,+784225,+96375.2,+671757,+264867,+657947,+262699,+2.11393e+06,+623941
2000-01-01 00:03:00 EST,5,5,6,+784233,+87343.6,+671845,+264944,+657835,+262613,+2.11391e+06,+614901
2000-01-01 00:04:00 EST,5,5,6,+786688,+302609,+671020,+266346,+656937,+260995,+2.11464e+06,+829950
2000-01-01 00:05:00 EST,5,5,6,+786688,+302609,+671020,+266346,+656937,+260995,+2.11464e+06,+829950
2000-01-01 00:06:00 EST,5,5,6,+786688,+302609,+671020,+266346,+656937,+260995,+2.11464e+06,+829950
2000-01-01 00:07:00 EST,5,5,6,+786688,+302609,+671020,+266346,+656937,+260995,+2.11464e+06,+829950
2000-01-01 00:08:00 EST,5,5,6,+786688,+302609,+671020,+266346,+656937,+260995,+2.11464e+06,+829950
2000-01-01 00:09:00 EST,5,5,6,+786688,+302609,+671020,+266346,+656937,+260995,+2.11464e+06,+829950
