# file...... data/scenario3/hacked_2035R3-12.47-3_reg2_output.csv
# date...... Tue Aug 17 13:45:59 2021
# user...... solal
# host...... (null)
# target.... regulator 1
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+760119,+302759,+645271,+266649,+623162,+260435,+2.02855e+06,+829843
2000-01-01 00:01:00 EST,2,2,2,+757227,+106438,+646154,+265209,+623867,+261933,+2.02725e+06,+633581
2000-01-01 00:02:00 EST,4,4,4,+757153,+95107.9,+646248,+265220,+623769,+261888,+2.02717e+06,+622216
2000-01-01 00:03:00 EST,5,5,5,+757142,+86090.4,+646351,+265261,+623726,+261885,+2.02722e+06,+613237
2000-01-01 00:04:00 EST,5,5,5,+759577,+301784,+645523,+266678,+622888,+260317,+2.02799e+06,+828778
2000-01-01 00:05:00 EST,5,5,5,+759577,+301784,+645523,+266678,+622888,+260317,+2.02799e+06,+828778
2000-01-01 00:06:00 EST,5,5,5,+759577,+301784,+645523,+266678,+622888,+260317,+2.02799e+06,+828778
2000-01-01 00:07:00 EST,5,5,5,+759577,+301784,+645523,+266678,+622888,+260317,+2.02799e+06,+828778
2000-01-01 00:08:00 EST,5,5,5,+759577,+301784,+645523,+266678,+622888,+260317,+2.02799e+06,+828778
2000-01-01 00:09:00 EST,5,5,5,+759577,+301784,+645523,+266678,+622888,+260317,+2.02799e+06,+828778
