# file...... data/scenario3/hacked_GFCR3-12.47-3_reg2_output.csv
# date...... Tue Aug 17 14:36:15 2021
# user...... solal
# host...... (null)
# target.... regulator 1
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+184494,+298221,+57789,+267248,+61692.5,+262658,+303976,+828127
2000-01-01 00:01:00 EST,2,2,2,+182960,+91929.4,+58169.3,+267184,+61430.7,+263466,+302560,+622579
2000-01-01 00:02:00 EST,4,4,4,+182930,+80730.2,+57969.7,+267227,+61117.2,+263357,+302017,+611314
2000-01-01 00:03:00 EST,4,4,4,+184093,+298022,+57258.3,+267332,+60893.2,+262377,+302244,+827730
2000-01-01 00:04:00 EST,4,2,3,+184087,+298009,+57341,+267301,+60946.8,+262399,+302375,+827709
2000-01-01 00:05:00 EST,4,2,3,+184087,+298009,+57341,+267301,+60946.8,+262399,+302375,+827709
2000-01-01 00:06:00 EST,4,2,3,+184087,+298009,+57341,+267301,+60946.8,+262399,+302375,+827709
2000-01-01 00:07:00 EST,4,2,3,+184087,+298009,+57341,+267301,+60946.8,+262399,+302375,+827709
2000-01-01 00:08:00 EST,4,2,3,+184087,+298009,+57341,+267301,+60946.8,+262399,+302375,+827709
2000-01-01 00:09:00 EST,4,2,3,+184087,+298009,+57341,+267301,+60946.8,+262399,+302375,+827709
