# file...... data/scenario3/hacked_HPR3-12.47-3_reg1_output.csv
# date...... Tue Aug 17 13:46:31 2021
# user...... solal
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+2.07667e+06,+1.00091e+06,+2.08155e+06,+998525,+2.00343e+06,+1.01401e+06,+6.16165e+06,+3.01345e+06
2000-01-01 00:01:00 EST,2,2,2,+2.06874e+06,+798855,+2.08333e+06,+995016,+2.00478e+06,+1.01695e+06,+6.15684e+06,+2.81082e+06
2000-01-01 00:02:00 EST,4,4,4,+2.0683e+06,+786986,+2.08325e+06,+994506,+2.00454e+06,+1.01659e+06,+6.15608e+06,+2.79809e+06
2000-01-01 00:03:00 EST,6,6,6,+2.06797e+06,+777466,+2.08318e+06,+994058,+2.00434e+06,+1.01627e+06,+6.15549e+06,+2.7878e+06
2000-01-01 00:04:00 EST,6,6,6,+2.0752e+06,+998331,+2.08119e+06,+997120,+2.00262e+06,+1.01281e+06,+6.159e+06,+3.00826e+06
2000-01-01 00:05:00 EST,6,6,6,+2.0752e+06,+998331,+2.08119e+06,+997120,+2.00262e+06,+1.01281e+06,+6.159e+06,+3.00826e+06
2000-01-01 00:06:00 EST,6,6,6,+2.0752e+06,+998331,+2.08119e+06,+997120,+2.00262e+06,+1.01281e+06,+6.159e+06,+3.00826e+06
2000-01-01 00:07:00 EST,6,6,6,+2.0752e+06,+998331,+2.08119e+06,+997120,+2.00262e+06,+1.01281e+06,+6.159e+06,+3.00826e+06
2000-01-01 00:08:00 EST,6,6,6,+2.0752e+06,+998331,+2.08119e+06,+997120,+2.00262e+06,+1.01281e+06,+6.159e+06,+3.00826e+06
2000-01-01 00:09:00 EST,6,6,6,+2.0752e+06,+998331,+2.08119e+06,+997120,+2.00262e+06,+1.01281e+06,+6.159e+06,+3.00826e+06
