# file...... data/scenario3/hacked_reactive_2035R3-12.47-3_reg1_output.csv
# date...... Tue Aug 17 13:46:45 2021
# user...... solal
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+2.60542e+06,+823754,+2.57192e+06,+773282,+2.63126e+06,+841470,+7.8086e+06,+2.43851e+06
2000-01-01 00:01:00 EST,2,2,2,+2.59446e+06,+317822,+2.57457e+06,+766025,+2.63444e+06,+847100,+7.80347e+06,+1.93095e+06
2000-01-01 00:02:00 EST,4,4,4,+2.59358e+06,+297263,+2.57412e+06,+765065,+2.63356e+06,+845993,+7.80126e+06,+1.90832e+06
2000-01-01 00:03:00 EST,6,6,6,+2.5958e+06,+601568,+2.57212e+06,+766831,+2.63124e+06,+841953,+7.79915e+06,+2.21035e+06
2000-01-01 00:04:00 EST,6,6,6,+2.6025e+06,+819034,+2.57046e+06,+770618,+2.62851e+06,+837997,+7.80146e+06,+2.42765e+06
2000-01-01 00:05:00 EST,6,6,6,+2.6025e+06,+819034,+2.57046e+06,+770618,+2.62851e+06,+837997,+7.80146e+06,+2.42765e+06
2000-01-01 00:06:00 EST,6,6,6,+2.6025e+06,+819034,+2.57046e+06,+770618,+2.62851e+06,+837997,+7.80146e+06,+2.42765e+06
2000-01-01 00:07:00 EST,6,6,6,+2.6025e+06,+819034,+2.57046e+06,+770618,+2.62851e+06,+837997,+7.80146e+06,+2.42765e+06
2000-01-01 00:08:00 EST,6,6,6,+2.6025e+06,+819034,+2.57046e+06,+770618,+2.62851e+06,+837997,+7.80146e+06,+2.42765e+06
2000-01-01 00:09:00 EST,6,6,6,+2.6025e+06,+819034,+2.57046e+06,+770618,+2.62851e+06,+837997,+7.80146e+06,+2.42765e+06
