# file...... data/scenario3/hacked_reactive_GFCR3-12.47-3_reg1_output.csv
# date...... Tue Aug 17 14:40:36 2021
# user...... solal
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+1.91084e+06,-572507,+1.7449e+06,-885268,+1.90833e+06,-616039,+5.56407e+06,-2.07381e+06
2000-01-01 00:01:00 EST,2,2,2,+1.91388e+06,-773684,+1.74247e+06,-888946,+1.91027e+06,-616082,+5.56661e+06,-2.27871e+06
2000-01-01 00:02:00 EST,4,4,4,+1.91292e+06,-783029,+1.74153e+06,-889840,+1.90902e+06,-616947,+5.56347e+06,-2.28982e+06
2000-01-01 00:03:00 EST,6,6,6,+1.90732e+06,-575946,+1.74212e+06,-887936,+1.90474e+06,-618514,+5.55417e+06,-2.0824e+06
2000-01-01 00:04:00 EST,6,6,6,+1.9073e+06,-575964,+1.74218e+06,-887936,+1.90489e+06,-618430,+5.55437e+06,-2.08233e+06
2000-01-01 00:05:00 EST,6,6,6,+1.9073e+06,-575964,+1.74218e+06,-887936,+1.90489e+06,-618430,+5.55437e+06,-2.08233e+06
2000-01-01 00:06:00 EST,6,6,6,+1.9073e+06,-575964,+1.74218e+06,-887936,+1.90489e+06,-618430,+5.55437e+06,-2.08233e+06
2000-01-01 00:07:00 EST,6,6,6,+1.9073e+06,-575964,+1.74218e+06,-887936,+1.90489e+06,-618430,+5.55437e+06,-2.08233e+06
2000-01-01 00:08:00 EST,6,6,6,+1.9073e+06,-575964,+1.74218e+06,-887936,+1.90489e+06,-618430,+5.55437e+06,-2.08233e+06
2000-01-01 00:09:00 EST,6,6,6,+1.9073e+06,-575964,+1.74218e+06,-887936,+1.90489e+06,-618430,+5.55437e+06,-2.08233e+06
