# file...... data/scenario3/hacked_reactive_HPR3-12.47-3_reg1_output.csv
# date...... Tue Aug 17 13:47:01 2021
# user...... solal
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+2.40128e+06,+430212,+2.36347e+06,+371348,+2.41442e+06,+425282,+7.17917e+06,+1.22684e+06
2000-01-01 00:01:00 EST,2,2,2,+2.39745e+06,+230520,+2.36408e+06,+367285,+2.41664e+06,+427594,+7.17817e+06,+1.0254e+06
2000-01-01 00:02:00 EST,4,4,4,+2.39699e+06,+218530,+2.36392e+06,+366697,+2.41616e+06,+426945,+7.17708e+06,+1.01217e+06
2000-01-01 00:03:00 EST,6,6,6,+2.39958e+06,+427203,+2.36287e+06,+369725,+2.41291e+06,+423204,+7.17536e+06,+1.22013e+06
2000-01-01 00:04:00 EST,6,6,6,+2.3996e+06,+427185,+2.36282e+06,+369699,+2.41289e+06,+423198,+7.17531e+06,+1.22008e+06
2000-01-01 00:05:00 EST,6,6,6,+2.3996e+06,+427185,+2.36282e+06,+369699,+2.41289e+06,+423198,+7.17531e+06,+1.22008e+06
2000-01-01 00:06:00 EST,6,6,6,+2.3996e+06,+427185,+2.36282e+06,+369699,+2.41289e+06,+423198,+7.17531e+06,+1.22008e+06
2000-01-01 00:07:00 EST,6,6,6,+2.3996e+06,+427185,+2.36282e+06,+369699,+2.41289e+06,+423198,+7.17531e+06,+1.22008e+06
2000-01-01 00:08:00 EST,6,6,6,+2.3996e+06,+427185,+2.36282e+06,+369699,+2.41289e+06,+423198,+7.17531e+06,+1.22008e+06
2000-01-01 00:09:00 EST,6,6,6,+2.3996e+06,+427185,+2.36282e+06,+369699,+2.41289e+06,+423198,+7.17531e+06,+1.22008e+06
